Datetime,Tweet Id,Tweet,Media,Username,,Tweets,Ano,
2021,"1,39831867098896E+018",@marcottke1 Rotina,,Guiononato,,,,
2021,"1,39801109677525E+018",Coisa mais verdadeira que eu vi hj https://t.co/9yqBXlAYbD,,Guiononato,,,,
2021,"1,3976108760904E+018",@yesweetchaos Quando vc fez o cadastro demorou mto pra vc conseguir entrar?,,Guiononato,,,,
2021,"1,39759735529841E+018",@eubeatrizcria O meu n vai tmb kkkkk qual q é o site inicial q c tá falando?,,Guiononato,,,,
2021,"1,3970064336114E+018","@Nandamatos09 N faço banhos, apenas duchas 😉",,Guiononato,,,,
2021,"1,39692128503331E+018",@Nandamatos09 Vamo toma uma ducha juntos? 😑😳,,Guiononato,,,,
2021,"1,39692110407415E+018",@thalesrampone_ @Nandamatos09 Vai aprendendo como é q se faz atrd,,Guiononato,,,,
2021,"1,39682803375606E+018",@Nandamatos09 😋😎,,Guiononato,,,,
2021,"1,3958078069436E+018",@tudorosa22 Sempre quero o bem dos meus amigos 🙏,,Guiononato,,,,
2021,"1,39579610231466E+018",@tudorosa22 Porque isso faz mal pra saúde!,,Guiononato,,,,
2021,"1,39519038885241E+018",@youngxxxx_ @trapics7 Eu vi chave,,Guiononato,,,,
2021,"1,39502443936926E+018",@souzapetilli Fica rico Luiz,,Guiononato,,,,
2021,"1,39496933714082E+018","@souzapetilli Dorme, fui dor essa hr ont cordei agr",,Guiononato,,,,
2021,"1,39479686948269E+018",Alg pra assistir one piece comigo sexta e sábado à noite?,,Guiononato,,,,
2021,"1,39472519938016E+018",@joaoreisse Abacate.,,Guiononato,,,,
2021,"1,39444952632968E+018",@momomotoca Charmosa em novinha,,Guiononato,,,,
2021,"1,39434220603981E+018",@Beico012 Porcada levou essa em beiço kkkkkkkkk,,Guiononato,,,,
2021,"1,39334584226277E+018",@guipartel420 @paia KKKKKKKK,,Guiononato,,,,
2021,"1,39329658543868E+018",@polidouchiha @bala @love,,Guiononato,,,,
2021,"1,39322430340819E+018",Aff q sdd dela,,Guiononato,,,,
